title,release_date,duration_ms,duration_min,ology,smologies,encore,part_2,branch,primary,secondary,,,
Carobology (NOT-CHOCOLATE TREES) with Megan Lynch,2/10/2021,4801462,80.02,Carobology,0,0,0,FNS,Biology,NA,,,
Economic Sociology Pt. 2 (MONEY/FREAKONOMICS) with Steven Levitt and Anna Gifty Opoku-Agyeman,2/2/2021,3277897,54.63,Sociology,0,0,0,ASS,Economics,NA,,,
Economic Sociology Pt. 1 (MONEY/FREAKONOMICS) with Anna Gifty Opoku-Agyeman and Steven Levitt,1/26/2021,4706194,78.44,Sociology,0,0,0,ASS,Economics,NA,,,
Bilharziology (BLOOD FLUKES) with Anouk N. Gouvras,1/19/2021,2942145,49.04,Bilharziology,0,0,0,FNS,Biology,NA,,,
Urban Rodentology (SEWER RATS) with Bobby Corrigan,1/12/2021,4710112,78.50,Rodentology,0,0,0,FNS,Biology,Anthropology,,,
Vaccine Infodemiology (COVID-19 IMMUNITY) with Jessica Malaty Rivera,1/5/2021,5756525,95.94,Infodemiology,0,0,0,FNS,Medicine,Biology,,,
Part 2: Dendrology (TREES) with Casey Clapp -- UPDATES + NEW INTERVIEW,12/29/2020,1421217,23.69,Dendrology,0,0,1,FNS,Biology,Agricultural sciences,,,
Part 1: Dendrology (TREES) with Casey Clapp -- Encore,12/29/2020,5411186,90.19,Dendrology,0,1,0,FNS,Biology,Agricultural sciences,,,
Scorpiology (SCORPIONS) with Lauren Esposito: Encore Presentation,12/22/2020,4427676,73.79,Scorpiology,0,1,0,FNS,Biology,NA,,,
Garology (LONG CUTE ANCIENT PATIENT BOOPABLE NIGHTMARE FISH) with Solomon David,12/15/2020,4410253,73.50,Garology,0,0,0,FNS,Biology,NA,,,
Space Archaeology (SPACE JUNK) with Alice Gorman,12/8/2020,4620695,77.01,Archaeology,0,0,0,FSS,Anthropology,Astronomy,,,
Alligator Ecotoxicology (GATOR POISONS) with Laura Kojima,12/1/2020,5058246,84.30,Ecotoxicology,0,0,0,FNS,Biology,Chemistry,,,
Awesomeology (GRATITUDE) with Neil Pasricha,11/24/2020,5183346,86.39,Awesomeology,0,0,0,FSS,Psychology,Pedagogy,,,
Biological Anthropology (APE SEX) with Lara Durgavich,11/17/2020,4995239,83.25,Anthropology,0,0,0,FSS,Anthropology,Biology,,,
Indigenous Fashionology (NATIVE CLOTHING) with Riley Kucheran,11/11/2020,4309185,71.82,Fashionology,0,0,0,FSS,Anthropology,Art,,,
Pedagogology (SCIENCE COMMUNICATION) with Bill Nye,11/3/2020,4347010,72.45,Pedagogology,0,0,0,ASS,Pedagogy,NA,,,
Cucurbitology (PUMPKINS) Encore with Anne Copeland,10/28/2020,3692434,61.54,Cucurbitology,0,1,0,ANS,Agricultural science,Biology,,,
Desairology (MORTUARY MAKE-UP) with Monica Torres,10/27/2020,4028238,67.14,Desairology,0,0,0,ASS,Anthropology,Art,,,
Anthropodermic Biocodicology (HUMAN LEATHER BOOKS) with Megan Rosenbloom & Daniel Kirby,10/21/2020,4555807,75.93,Biocodicology,0,0,0,FSS,Anthropology,Art,,,
Forest Entomology (CREEPY CRAWLIES) with Kristen Wickert,10/13/2020,4502177,75.04,Entomology,0,0,0,FNS,Biology,NA,,,
Condorology (CONDORS & VULTURES) with Jonathan C. Hall,10/7/2020,4695640,78.26,Condorology,0,0,0,FNS,Biology,NA,,,
Political Sociology (VOTER TURNOUT & SUPPRESSION) with Mindy Romero,9/30/2020,4450403,74.17,Sociology,0,0,0,FSS,Political science,Jurisprudence,,,
Fulminology (LIGHTNING) with Chris Giesige,9/23/2020,5373309,89.56,Fulminology,0,0,0,FNS,Earth science,Physics,,,
Mammalogy (MAMMALS) with Danielle N. Lee,9/15/2020,4297456,71.62,Mammalogy,0,0,0,FNS,Biology,NA,,,
Cervidology Part 2 (DEER) with Rhiannons Jakopak & Kirton,9/8/2020,3987696,66.46,Cervidology,0,0,1,FNS,Biology,NA,,,
Cervidology (DEER) Part 1 with Rhiannons Kirton & Jakopak,9/2/2020,3040130,50.67,Cervidology,0,0,0,FNS,Biology,NA,,,
Dasyurology (TASMANIAN DEVILS) with Jarrah Dale,8/25/2020,4024320,67.07,Dasyurology,0,0,0,FNS,Biology,NA,,,
Oceanology (THE OCEAN) with Ayana Johnson: Encore Presentation,8/18/2020,4865985,81.10,Oceanology,0,1,0,FNS,Earth science,NA,,,
Experimental Archaeology (OLD TOOLS/ATLATLS) with Angelo Robledo,8/11/2020,6305724,105.10,Archaeology,0,0,0,FSS,Anthropology,NA,,,
Toxinology (JELLYFISH VENOM) with Anna Klompen,8/4/2020,4435017,73.92,Toxinology,0,0,0,FNS,Biology,Chemistry,,,
Medusology (JELLYFISH) with Rebecca Helm,7/30/2020,5436682,90.61,Medusology,0,0,0,FNS,Biology,NA,,,
Minisode: Listeners Interview Alie,7/23/2020,2121639,35.36,NA,0,0,0,NA,NA,NA,,,
Aperiology (MACRO PHOTOGRAPHY) with Joseph Saunders,7/15/2020,5043748,84.06,Aperiology,0,0,0,ASS,Art,Biology,,,
Agnotology (IGNORANCE) with Robert Proctor,7/8/2020,4097854,68.30,Agnotology,0,0,0,FSS,Psychology,NA,,,
Bryology (MOSS) with Dr. Robin Wall Kimmerer,6/30/2020,4388519,73.14,Bryology,0,0,0,FNS,Biology,NA,,,
Neuroendocrinology (SEX & GENDER) Part 2 with Daniel Pfau,6/23/2020,3414804,56.91,Neuroendocrinology,0,0,1,FNS,Biology,Sociology,,,
Neuroendocrinology (SEX & GENDER) Part 1 with Daniel Pfau,6/16/2020,4196884,69.95,Neuroendocrinology,0,0,0,FNS,Biology,Sociology,,,
Very Special Episode: BlackAFinSTEM with various Ologists,6/10/2020,4182439,69.71,NA,0,0,0,NA,NA,NA,,,
Pelicanology (PELICANS) with Juita Martinez,6/4/2020,4093805,68.23,Pelicanology,0,0,0,FNS,Biology,NA,,,
Oikology (DECLUTTERING) with Jamie & Filip Hord + Joe Ferrari,5/26/2020,5589916,93.17,Oikology,0,0,0,FSS,Psychology,NA,,,
"Planariology (VERY COOL WORMS, I PROMISE) with Oné Pagán",5/20/2020,3658840,60.98,Planariology,0,0,0,FNS,Biology,NA,,,
Coronasode: Virology Update (COVID-19) with Shannon Bennett & Mike Natter,5/12/2020,4132388,68.87,Virology,0,0,0,FNS,Biology,Medicine,,,
Architectural Technology (COMPUTER PROGRAMMING) with Iddris Sandu,5/5/2020,4278256,71.30,Technology,0,0,0,AFS,Computer science,Engineering,,,
Nassology (TAXIDERMY) with Allis Markham,4/28/2020,5504313,91.74,Nassology,0,0,0,ANS,Agricultural science,Biology,,,
Penguinology (PENGUINS) with Tom Hart,4/21/2020,3525773,58.76,Penguinology,0,0,0,FNS,Biology,NA,,,
Gastroegyptology (BREAD BAKING) with Seamus Blackley,4/14/2020,5273547,87.89,Gastroegyptology,0,0,0,FSS,Anthropology,Chemistry,,,
Philematology (KISSING) with Robin Dunbar,4/7/2020,3961338,66.02,Philematology,0,0,0,FSS,Anthropology,Psychology,,,
Plumology (FEATHERS) with Allison Shultz,3/31/2020,4797779,79.96,Plumology,0,0,0,FNS,Biology,NA,,,
Lepidopterology (BUTTERFLIES & MOTHS) — Encore Presentation with Phil Torres,3/25/2020,4815124,80.25,Lepidopterology,0,1,0,FNS,Biology,NA,,,
Coronasode: All (Washed) Hands on Deck -- How to Help Yourself & Others Right Now with Dr. Michael F. Wells,3/22/2020,3949322,65.82,NA,0,0,0,NA,NA,NA,,,
Veterinary Biology (CRITTER FIXING) with Dr. Vernard Hodges & Dr. Terrence Ferguson,3/18/2020,3867924,64.47,Biology,0,0,0,ANS,Medicine,Biology,,,
Coronasode: Virology (COVID-19) with Dr. Shannon Bennett + various ologists,3/10/2020,5011252,83.52,Virology,0,0,0,FNS,Biology,Medicine,,,
Scatology (POOP) with Rachel Santymire,3/3/2020,3973982,66.23,Scatology,0,0,0,FNS,Biology,NA,,,
Volitional Psychology (PROCRASTINATION) with Dr. Joseph R. Ferrari,2/25/2020,3956114,65.94,Psychology,0,0,0,FSS,Psychology,NA,,,
Cryoseismology (ICEQUAKES) with Celeste Labedz,2/18/2020,3449182,57.49,Cryoseismology,0,0,0,FNS,Earth science,Physics,,,
Genealogy (FAMILY TREES) with Stephen Hanks,2/11/2020,4104672,68.41,Genealogy,0,0,0,FSS,Anthropology,NA,,,
Nephology (CLOUDS) with Rachel Storer,2/4/2020,3414386,56.91,Nephology,0,0,0,FNS,Earth science,NA,,,
"Diabetology (BLOOD SUGAR) Part 2 with Dr. Mike Natter, MD",1/28/2020,4813296,80.22,Diabetology,0,0,1,FNS,Biology,Medicine,,,
"Diabetology (BLOOD SUGAR) Part 1 with Dr. Mike Natter, MD",1/21/2020,3558191,59.30,Diabetology,0,0,0,FNS,Biology,Medicine,,,
Bisonology (BUFFALO) with various bisonologists,1/15/2020,5548643,92.48,Bisonology,0,0,0,FNS,Biology,NA,,,
Futurology (THE FUTURE) with Rose Eveleth,1/7/2020,5316022,88.60,Futurology,0,0,0,ANS,Engineering,Anthropology,,,
Fearology Pt. 2 (FEAR) with Mary Poffenroth -- Encore Presentation,12/31/2019,3482697,58.04,Fearology,0,1,0,FSS,Psychology,Biology,,,
Fearology Pt. 1 (FEAR) with Mary Poffenroth -- Encore Presentation,12/24/2019,4401371,73.36,Fearology,0,1,0,FSS,Psychology,Biology,,,
Audiobook Mixtape: Gift Ideas from the Ologists’ Brains,12/18/2019,3412427,56.87,NA,0,0,0,NA,NA,NA,,,
Chronobiology (CIRCADIAN RHYTHMS) with Katherine Hatcher,12/10/2019,4353462,72.56,Chronobiology,0,0,0,FNS,Biology,NA,,,
Phonology (LINGUISTICS) with Nicole Holliday — Encore Presentation,12/3/2019,3886863,64.78,Phonology,0,1,0,ASS,Pedagogy,Anthropology,,,
Quantum Ontology (WHAT IS REAL?) with Adam Becker,11/26/2019,4756924,79.28,Ontology,0,0,0,FFS,Logic,Physics,,,
Lupinology (WOLVES) with Bridgett vonHoldt,11/19/2019,4577933,76.30,Lupinology,0,0,0,FNS,Biology,NA,,,
Molecular Neurobiology (BRAIN CHEMICALS) with Crystal Dilworth,11/12/2019,5237995,87.30,Neurobiology,0,0,0,FNS,Biology,Chemistry,,,
Chiropterology Part 2 (BATS) with Merlin Tuttle,11/5/2019,3714847,61.91,Chiropterology,0,0,1,FNS,Biology,NA,,,
Chiropterology (BATS) Part 1 with Merlin Tuttle,10/29/2019,6044133,100.74,Chiropterology,0,0,0,FNS,Biology,NA,,,
Demonology (EVIL SPIRITS) with Alyssa Beall,10/23/2019,4384130,73.07,Demonology,0,0,0,FSS,Anthropology,Sociology,,,
Spidroinology (SPIDERWEBS) with Randy Lewis,10/15/2019,4327627,72.13,Spidroinology,0,0,0,FNS,Biology,Engineering,,,
Cucurbitology (PUMPKINS) with Anne Copeland,10/8/2019,3636453,60.61,Cucurbitology,0,0,0,ANS,Agricultural science,Biology,,,
Osteology (SKELETONS/BODY FARMS) with Daniel Wescott,10/2/2019,4726465,78.77,Osteology,0,0,0,FNS,Biology,Anthropology,,,
Phenology (FALL/SEASONS) with Libby Ellwood,9/24/2019,5110125,85.17,Phenology,0,0,0,FNS,Earth science,Anthropology,,,
Potterology Part 2 (WIZARD SCIENCE) with Rebecca Lai,9/17/2019,2900506,48.34,Potterology,0,0,1,FNS,Chemistry,Art,,,
Potterology Part 1 (WIZARD SCIENCE) with Rebecca Lai,9/10/2019,4330501,72.18,Potterology,0,0,0,FNS,Chemistry,Art,,,
Vexillology (FLAGS) with E. Tory Laitila,9/3/2019,4723121,78.72,Vexillology,0,0,0,FSS,Anthropology,Art,,,
Paleontology (DINOSAURS) Encore Presentation with Michael Habib,8/28/2019,3114109,51.90,Paleontology,0,1,0,FNS,Biology,NA,,,
Disasterology (DISASTERS) with Samantha Montano,8/21/2019,5197923,86.63,Disasterology,0,0,0,FSS,Sociology,Jurisprudence,,,
100th Episode: Best Life Advice from Ologists + 100 More Ologies,8/14/2019,1445355,24.09,NA,0,0,0,NA,NA,NA,,,
Saurology (LIZARDS) with Earyn McGee,8/6/2019,4064888,67.75,Saurology,0,0,0,FNS,Biology,NA,,,
Graphology (HANDWRITING/FORGERY) with Sylvia Kessler,7/31/2019,3809593,63.49,Graphology,0,0,0,FSS,Anthropology,NA,,,
Cnidariology (CORAL) with Shayle Matsuda,7/25/2019,4891297,81.52,Cnidariology,0,0,0,FNS,Biology,NA,,,
Disinfectiology (BLEACH) with Evan Rumberger,7/16/2019,3120640,52.01,Disinfectiology,0,0,0,FNS,Chemistry,Biology,,,
Nomology Part 2: (THE CONSTITUTION): Let's read the whole friggin thing.,7/10/2019,4840933,80.68,Nomology,0,0,1,ASS,Jurisprudence,Political science,,,
Nomology (THE CONSTITUTION) with Franita Tolson,7/2/2019,5419258,90.32,Nomology,0,0,0,ASS,Jurisprudence,Political science,,,
Cabinology (CABINS) with Dale Mulfinger,6/25/2019,3545808,59.10,Cabinology,0,0,0,ANS,Engineering,Anthropology,,,
Disease Ecology (LYME/TICK-BORNE ILLNESSES) with Andrea Swei,6/18/2019,4374857,72.91,Ecology,0,0,0,FNS,Biology,Medicine,,,
Island Ecology (ISLANDS) with Andy Kraemer,6/11/2019,2911033,48.52,Ecology,0,0,0,FNS,Earth science,Sociology,,,
Acarology (TICKS) with Neeta Pardanani Connally,6/5/2019,4797126,79.95,Acarology,0,0,0,FNS,Biology,NA,,,
Psychological Traumatology (PTSD & STRESS) with Nicholas Barr,5/28/2019,5301002,88.35,Traumatology,0,0,0,FSS,Psychology,NA,,,
Behavioral Ecology (REPRODUCTIVE TRADEOFFS) with Amy Worthington,5/21/2019,2864457,47.74,Ecology,0,0,0,FSS,Anthropology,Biology,,,
"BONUS Minisode: Preview of  Alie on Bill Nye's ""Science Rules!""",5/16/2019,671320,11.19,NA,0,0,0,NA,NA,NA,,,
Mycology (MUSHROOMS) with Tom Volk,5/14/2019,4582269,76.37,Mycology,0,0,0,FNS,Biology,NA,,,
Bufology (TOADS) with Priya Nanjappa,5/7/2019,4146128,69.10,Bufology,0,0,0,FNS,Biology,NA,,,
Minisode: All of My Secret Travel Trips + Some Updates,4/30/2019,1178827,19.65,NA,0,0,0,NA,NA,NA,,,
Addictionology (ADDICTION) with Erin Parisi,4/23/2019,5490834,91.51,Addictionology,0,0,0,FSS,Psychology,Sociology,,,
Hagfishology (HAGFISH) with Tim Winegard,4/16/2019,4402128,73.37,Hagfishology,0,0,0,FNS,Biology,NA,,,
Scorpiology (SCORPIONS) with Lauren Esposito,4/9/2019,4143124,69.05,Scorpiology,0,0,0,FNS,Biology,NA,,,
FIELD TRIP:  How to Change Your Life via the Natural History Museum of LA,4/2/2019,2145306,35.76,NA,0,0,0,NA,NA,NA,,,
Victimology (CRIME VICTIMS) with Callie Rennison,3/26/2019,5418109,90.30,Victimology,0,0,0,ASS,Jurisprudence,Sociology,,,
Astrobiology (ALIENS) with Kevin Peter Hand,3/19/2019,4963186,82.72,Astrobiology,0,0,0,FNS,Biology,Astronomy,,,
Ludology (VIDEO GAMES) with Jane McGonigal,3/12/2019,4616986,76.95,Ludology,0,0,0,FSS,Anthropology,Computer science,,,
Etymology (WORD ORIGINS) with Helen Zaltzman of The Allusionist Podcast,3/5/2019,3618899,60.31,Etymology,0,0,0,ASS,Pedagogy,NA,,,
Thermophysiology (BODY HEAT) with Shane Campbell-Staton,2/26/2019,5033168,83.89,Thermophysiology,0,0,0,FNS,Biology,Physics,,,
Personality Psychology (PERSONALITIES) with Simine Vazire,2/19/2019,4639634,77.33,Psychology,0,0,0,FSS,Psychology,NA,,,
Matrimoniology (MARRIAGE) with Ben Karney,2/12/2019,5546109,92.44,Matrimoniology,0,0,0,FSS,Sociology,Psychology,,,
Biogerontology (AGING) with Caleb Finch,2/5/2019,3109799,51.83,Biogerontology,0,0,0,FNS,Biology,Medicine,,,
Cheloniology (SEA TURTLES) with Camryn Allen,1/29/2019,5045289,84.09,Cheloniology,0,0,0,FNS,Biology,NA,,,
Testudinology (TORTOISES) with Amanda Hipps,1/22/2019,4362083,72.70,Testudinology,0,0,0,FNS,Biology,NA,,,
Snow Hydrology (SNOW & AVALANCHES) with Ned Bair,1/15/2019,3513573,58.56,Hydrology,0,0,0,FNS,Earth science,NA,,,
Minisode: Ologies Upgrades & Changes for 2019,1/8/2019,494341,8.24,NA,0,0,0,NA,NA,NA,,,
Felinology (CATS) with Mikel Delgado,1/8/2019,5074703,84.58,Felinology,0,0,0,FNS,Biology,NA,,,
Entomophagy Anthropology (EATING BUGS AS SUSTAINABLE PROTEIN) with Julie Lesnik,1/1/2019,4929880,82.16,Anthropology,0,0,0,FSS,Anthropology,Biology,,,
Ornithology (BIRDS) Encore Presentation with James Maley,12/25/2018,3316480,55.27,Ornithology,0,1,0,FNS,Biology,NA,,,
Mixology (COCKTAILS) with Matthew Biancaniello,12/18/2018,4191869,69.86,Mixology,0,0,0,ANS,Art,Agricultural sciences,,,
Selenology (THE MOON) with Raquel Nuno,12/11/2018,4922253,82.04,Selenology,0,0,0,FNS,Astronomy,Earth science,,,
Classical Archaeology (ANCIENT ROME) with Darius Arya,12/4/2018,4369031,72.82,Archaeology,0,0,0,FSS,Anthropology,NA,,,
Microbiology (GUT BIOME) with Elaine Hsiao,11/27/2018,4651415,77.52,Microbiology,0,0,0,FNS,Biology,Medicine,,,
Grateful-ology (GRATITUDE) is not totally a real word,11/20/2018,940277,15.67,ology,0,0,0,FSS,Psychology,NA,,,
Food Anthropology (FEASTS) with Katherine Spiers,11/13/2018,4384608,73.08,Anthropology,0,0,0,FSS,Anthropology,Agricultural sciences,,,
Eschatology (THE APOCALYPSE) with Phil Torres,11/6/2018,4083304,68.06,Eschatology,0,0,0,FSS,Anthropology,NA,,,
Corvid Thanatology (CROW FUNERALS) with Kaeli Swift,10/30/2018,4423366,73.72,Thanatology,0,0,0,FNS,Biology,NA,,,
Somnology (SLEEP) Part 2 with Dr. W. Chris Winter,10/23/2018,4234814,70.58,Somnology,0,0,1,FNS,Biology,Medicine,,,
Somnology (SLEEP) Part 1 with W. Chris Winter,10/16/2018,4426736,73.78,Somnology,0,0,0,FNS,Biology,Medicine,,,
Surgical Oncology (BREAST CANCER) with Donna-Marie Manasseh,10/9/2018,4977946,82.97,Oncology,0,0,0,ANS,Medicine,Biology,,,
Ologiesology with Alie Ward (1-Year Anniversary Episode),10/5/2018,4041273,67.35,Ologiesology,0,0,0,NA,NA,NA,,,
Functional Morphology (ANATOMY) with Joy Reidenberg,10/2/2018,4344946,72.42,Morphology,0,0,0,FNS,Biology,Medicine,,,
Myrmecology (ANTS) with Terry McGlynn,9/25/2018,4984685,83.08,Myrmecology,0,0,0,FNS,Biology,NA,,,
Egyptology (ANCIENT EGYPT) with Kara Cooney,9/18/2018,4885603,81.43,Egyptology,0,0,0,FSS,Anthropology,NA,,,
Conservation Technology (EARTH SAVING) with Shah Selbe,9/11/2018,5049704,84.16,Technology,0,0,0,ANS,Engineering,NA,,,
Oceanology (OCEANS) with Ayana Johnson,9/4/2018,4574328,76.24,Oceanology,0,0,0,FNS,Earth science,NA,,,
Ferroequinology (TRAINS) with Matt Anderson,8/28/2018,3860009,64.33,Ferroequinology,0,0,0,ANS,Engineering,NA,,,
Bonus Minisode: Kalology -- Your Letters,8/21/2018,2621884,43.70,Kalology,0,0,0,NA,NA,NA,,,
Kalology (BEAUTY STANDARDS) with Renee Engeln,8/21/2018,5933792,98.90,Kalology,0,0,0,FSS,Anthropology,NA,,,
Oology (EGGS) with John Bates,8/14/2018,3494373,58.24,Oology,0,0,0,FNS,Biology,NA,,,
Ophthalmology (EYES) with Reid Wainess,8/7/2018,5017678,83.63,Ophthalmology,0,0,0,ANS,Medicine,Biology,,,
Epidemiology (DISEASES) with 'This Podcast Will Kill You's' Erins Welsh & Allmann-Updyke,7/31/2018,5428871,90.48,Epidemiology,0,0,0,AFS,Statistics,Medicine,,,
Selachimorphology (SHARKS) with Chris Lowe,7/24/2018,4600868,76.68,Selachimorphology,0,0,0,FNS,Biology,NA,,,
Malacology (SNAILS & SLUGS) with Jann Vendetti,7/17/2018,4223425,70.39,Malacology,0,0,0,FNS,Biology,NA,,,
Areology (MARS) Part 2 with Jennifer Buz,7/10/2018,3377319,56.29,Areology,0,0,1,FNS,Astronomy,Earth science,,,
Areology (MARS) Part 1 with Jennifer Buz,7/3/2018,4014080,66.90,Areology,0,0,0,FNS,Astronomy,Earth science,,,
MINISODE: Aestaology (SUMMER) should be a word,6/26/2018,1285616,21.43,Aestaology,0,0,0,NA,NA,NA,,,
Deltiology  (POSTCARDS) with Donna Braden,6/19/2018,3301302,55.02,Deltiology,0,0,0,FSS,Anthropology,NA,,,
Rhinology (NOSES) with John Craig,6/12/2018,4163839,69.40,Rhinology,0,0,0,ANS,Medicine,Biology,,,
Phonology (LINGUISTICS) with Nicole Holliday,6/5/2018,3793737,63.23,Phonology,0,0,0,ASS,Pedagogy,Anthropology,,,
Cynology (DOGS) with Brandon McMillan,5/29/2018,4597995,76.63,Cynology,0,0,0,FNS,Biology,NA,,,
Lepidopterology (BUTTERFLIES) with Phil Torres,5/22/2018,4781609,79.69,Lepidopterology,0,0,0,FNS,Biology,NA,,,
Trichology (HAIR) with Valerie Horsley,5/15/2018,4694465,78.24,Trichology,0,0,0,FNS,Biology,Anthropology,,,
Dendrology (TREES) with J. Casey Clapp,5/8/2018,5350635,89.18,Dendrology,0,0,0,FNS,Biology,Agricultural sciences,,,
Fearology Pt. 2 (FEAR) with Mary Poffenroth,5/1/2018,3540009,59.00,Fearology,0,0,0,FSS,Psychology,NA,,,
Fearology Pt. 1 (FEAR) with Mary Poffenroth,4/24/2018,4429792,73.83,Fearology,0,0,0,FSS,Psychology,NA,,,
Radiology (X-RAY VISION) with Varshana Gurusamy,4/17/2018,4213446,70.22,Radiology,0,0,0,ANS,Medicine,Physics,,,
Evolutionary Biology (DARWINISM) with John McCormack,4/10/2018,3663072,61.05,Biology,0,0,0,FNS,Biology,NA,,,
Gynecology (NETHER HEALTH) with Philippa Ribbink,4/3/2018,4871706,81.20,Gynecology,0,0,0,ANS,Medicine,Biology,,,
Zymology (BEER) with Quinton Sturgeon,3/27/2018,3217293,53.62,Zymology,0,0,0,ANS,Agricultural science,Chemistry,,,
Melittology (BEES) with Amanda Shaw,3/20/2018,4483108,74.72,Melittology,0,0,0,FNS,Biology,NA,,,
Museology (MUSEUMS) with Ronnie Cline,3/13/2018,3585358,59.76,Museology,0,0,0,ASS,Pedagogy,Anthropology,,,
Gizmology (ROBOTS) with Simone Giertz,3/6/2018,2040790,34.01,Gizmology,0,0,0,ANS,Engineering,Art,,,
Mythology (STORYTELLING) with John Bucher,2/27/2018,4379898,73.00,Mythology,0,0,0,FSS,Anthropology,Pedagogy,,,
Teuthology (SQUIDS) with Sarah McAnulty,2/20/2018,3494138,58.24,Teuthology,0,0,0,FNS,Biology,NA,,,
Sexology (SEX) with Shan Boody  aka Shannon Boodram,2/13/2018,4335072,72.25,Sexology,0,0,0,FSS,Psychology,Biology,,,
Gelotology (LAUGHTER) with Lee Berk,2/6/2018,3310942,55.18,Gelotology,0,0,0,FSS,Psychology,Biology,,,
Ichthyology (FISHES) with Chris Thacker,1/30/2018,4019513,66.99,Ichthyology,0,0,0,FNS,Biology,NA,,,
"Herpetology (SNAKES, FROGS, ETC.) with David Steen",1/23/2018,4258037,70.97,Herpetology,0,0,0,FNS,Biology,NA,,,
Sports & Performance Psychology (ANXIETY & CONFIDENCE) with Sari Shepphird,1/16/2018,4874004,81.23,Psychology,0,0,0,FSS,Psychology,NA,,,
Hematology (BLOOD) with Brian Durie,1/9/2018,2899095,48.32,Hematology,0,0,0,FNS,Medicine,Biology,,,
Glycobiology (CARBS) with Michelle Dookwah,1/3/2018,2742804,45.71,Glycobiology,0,0,0,FNS,Biology,Chemistry,,,
Cosmology PART 2 with Katie Mack,12/19/2017,2258912,37.65,Cosmology,0,0,1,FNS,Astronomy,Physics,,,
"Cosmology (THE UNIVERSE) with Katie Mack, Part I",12/12/2017,5476336,91.27,Cosmology,0,0,0,FNS,Astronomy,Physics,,,
Entomology (INSECTS) with Lila Higgins,12/5/2017,3387533,56.46,Entomology,0,0,0,FNS,Biology,NA,,,
Minisode: Grateful-ology is not a real word...,11/22/2017,908120,15.14,ology,0,0,0,NA,NA,NA,,,
Cosmetology (GLAM/GROOMING) with Alysha Sherri Marcantonio,11/14/2017,4162168,69.37,Cosmetology,0,0,0,FSS,Art,Anthropology,,,
Ornithology (BIRDS) with James Maley,11/7/2017,3264052,54.40,Ornithology,0,0,0,FNS,Biology,NA,,,
Thanatology (DEATH & DYING) with Cole Imperi,10/31/2017,4996336,83.27,Thanatology,0,0,0,FSS,Anthropology,Biology,,,
Minisode: Fall Ologies! ... Fallogies?,10/24/2017,496248,8.27,NA,0,0,0,NA,NA,NA,,,
Horology (WATCHES) with Cameron Weiss,10/18/2017,2420114,40.34,Horology,0,0,0,ANS,Engineering,Art,,,
Gemology (CRYSTALS & GEMS) with Kelly Sitek,10/10/2017,3360313,56.01,Gemology,0,0,0,FNS,Earth science,NA,,,
Paleontology (DINOSAURS) with Michael Habib,10/4/2017,2884022,48.07,Paleontology,0,0,0,FNS,Biology,NA,,,
Primatology (MONKEYS & APES) with Kate Gilmore,9/26/2017,4557897,75.96,Primatology,0,0,0,FNS,Biology,NA,,,
Volcanology (VOLCANOES) with Jess Phoenix,9/19/2017,3421335,57.02,Volcanology,0,0,0,FNS,Earth science,NA,,,
Episode 0,9/4/2017,275931,4.60,NA,0,0,0,NA,NA,NA,,,
